I0,I1,I2,I3,I4,I5,I6,I7,I8,new_col
6.653809,25.276339,1.180904,0.011597,0.000134,3.085875,0.924965,0.380051,9.837692,1
6.703117,25.262161,1.181044,0.020903,0.000437,-2.127004,0.925003,0.37993,9.631282,1
6.721069,25.321539,1.181072,-0.009471,9e-05,-5.358357,0.925014,0.379968,9.651026,1
6.686378,25.307581,1.180992,-0.004958,2.5e-05,3.053798,0.924984,0.380009,9.756025,1
6.707611,25.26516,1.181027,0.018709,0.00035,8.576941,0.925012,0.379945,9.698589,1
6.743759,25.303152,1.181071,-0.001803,3e-06,-2.409207,0.925014,0.379951,9.712949,1
6.690407,25.314564,1.181006,-0.011391,0.00013,0.479255,0.924973,0.380012,9.861026,1
6.74984,25.290344,1.180966,0.00108,1e-06,8.549414,0.924974,0.38002,9.747051,1
6.776573,25.286179,1.181002,0.005671,3.2e-05,0.893709,0.925003,0.379992,9.703076,1
6.788574,25.293457,1.181013,0.000839,1e-06,-2.547164,0.924991,0.379986,9.69141,1
6.766335,25.288765,1.181022,0.003134,1e-05,-0.028087,0.924995,0.379983,9.825128,1
6.757813,25.314402,1.181006,-0.005508,3e-05,-5.178928,0.924989,0.380013,9.828718,1
6.707787,25.296665,1.180965,-0.000238,0.0,5.3024,0.924973,0.380021,9.767693,1
6.733383,25.292816,1.180991,0.00599,3.6e-05,3.654042,0.924983,0.379999,9.766794,1
6.758797,25.297855,1.181019,0.003955,1.6e-05,0.067782,0.924994,0.379982,9.810769,1
6.77092,25.316597,1.181004,-0.004968,2.5e-05,0.107211,0.924973,0.380004,9.752436,1
6.755722,25.28718,1.181015,0.00958,9.2e-05,3.294239,0.924992,0.379964,9.76141,1
6.75695,25.288084,1.181079,0.011953,0.000143,1.290622,0.925032,0.379919,9.769487,1
6.769035,25.328012,1.181068,-0.010347,0.000107,-4.363556,0.925012,0.379956,9.844872,1
6.733978,25.310421,1.181028,-0.001549,2e-06,0.936219,0.924997,0.379977,9.770385,1
6.791901,25.260897,1.181044,0.010734,0.000115,4.470184,0.925003,0.379931,9.739872,1
6.820435,25.305979,1.181094,-0.000606,0.0,-4.319789,0.925022,0.379923,9.715641,1
6.801155,25.312815,1.181058,-0.007767,6e-05,1.687543,0.925008,0.379969,9.78923,1
6.868134,25.28882,1.181021,0.000962,1e-06,3.585448,0.924994,0.379975,9.818846,1
6.846725,25.278204,1.18106,0.007065,5e-05,-3.039234,0.925009,0.37994,9.790128,1
6.862816,25.315887,1.181057,-0.008608,7.4e-05,-3.393885,0.924993,0.379963,9.707564,1
6.82074,25.299158,1.181024,0.002385,6e-06,6.532598,0.924996,0.379964,9.778461,1
6.828362,25.276514,1.181063,0.007867,6.2e-05,2.334217,0.925011,0.379928,9.756025,1
6.802231,25.30715,1.181076,-0.009865,9.7e-05,-4.986737,0.925015,0.379947,9.744359,1
6.555,25.325897,1.180981,-0.022363,0.0005,-3.485571,0.924964,0.380057,9.690513,1
6.700851,25.256804,1.180939,0.017013,0.000289,12.092051,0.924978,0.380007,9.827821,1
6.766235,25.270407,1.181128,0.027502,0.000756,-5.413927,0.925035,0.379865,9.639359,1
6.79023,25.352211,1.181141,-0.014201,0.000202,-5.00241,0.925025,0.379914,9.617821,1
6.715034,25.380817,1.180983,-0.028729,0.000825,-1.467664,0.92498,0.38006,10.112308,1
6.72258,25.297331,1.180943,0.008783,7.7e-05,4.281937,0.92498,0.380034,9.875384,1
6.859024,25.333942,1.181028,0.016092,0.000259,0.74052,0.925012,0.379957,9.545128,1
6.85585,25.286251,1.18113,0.016888,0.000285,-5.36246,0.925036,0.379846,9.502051,1
6.821045,25.332628,1.18117,-0.004583,2.1e-05,-2.376314,0.925051,0.379855,9.806282,1
6.811981,25.353544,1.181103,-0.014901,0.000222,-1.051905,0.925026,0.379917,9.846666,1
6.823853,25.307959,1.181063,0.003488,1.2e-05,7.333767,0.925011,0.379933,9.703076,1
6.835243,25.289806,1.18113,0.011009,0.000121,-6.584404,0.925036,0.379866,9.790128,1
6.825195,25.316107,1.181152,-0.003992,1.6e-05,-5.509086,0.925044,0.379876,9.896923,1
6.736847,25.332226,1.181068,-0.013477,0.000182,4.153744,0.925012,0.379952,9.738975,1
6.736191,25.254976,1.181087,0.014323,0.000205,3.151056,0.925019,0.379891,9.623205,1
6.747467,25.276398,1.181175,0.007403,5.5e-05,-8.449026,0.925053,0.37983,9.744359,1
6.706322,25.335745,1.181141,-0.017723,0.000314,-3.293931,0.925025,0.37989,9.858334,1
6.689087,25.303192,1.18101,-0.011965,0.000143,5.556484,0.92499,0.379996,9.817948,1
6.716278,25.245201,1.181042,0.017911,0.000321,7.743704,0.925002,0.379921,9.712949,1
6.779694,25.300558,1.181119,0.004612,2.1e-05,-2.501609,0.925032,0.37989,9.702179,1
6.739449,25.321819,1.181085,-0.015469,0.000239,-3.998485,0.925004,0.379944,9.798205,1
6.728584,25.275143,1.181053,0.002416,6e-06,4.798455,0.925007,0.379924,9.747949,1
6.757813,25.253626,1.181115,0.00968,9.4e-05,0.489677,0.925046,0.379878,9.738077,1
6.727013,25.291338,1.181131,-0.00478,2.3e-05,-3.135541,0.925021,0.379888,9.817948,1
6.696777,25.298523,1.181065,-0.007542,5.7e-05,2.827423,0.925011,0.379941,9.841282,1
6.70723,25.284668,1.181077,0.000954,1e-06,0.12433,0.925016,0.37993,9.767693,1
6.683846,25.28153,1.181089,0.005606,3.1e-05,1.370679,0.92502,0.37991,9.661795,1
6.688332,25.293634,1.181099,0.003968,1.6e-05,4.003389,0.925024,0.379904,9.784743,1
6.663284,25.302492,1.181095,-0.002714,7e-06,-0.846362,0.925023,0.379918,9.835,1
