I0,I1,I2,I3,I4,I5,I6,I7,I8,new_col
-91.733185,-3.805792,-0.145296,-0.020201,0.000408,-3.365612,-0.144824,0.989457,9.467949,0
-91.85965,-3.800056,-0.145422,-0.02232,0.000498,1.823912,-0.14491,0.989439,9.510128,0
-91.863312,-3.789963,-0.145543,-0.0235,0.000552,-1.885581,-0.14503,0.989421,9.520897,0
-91.955643,-3.796111,-0.145669,-0.020974,0.00044,-1.393004,-0.145154,0.989402,9.476026,0
-91.988922,-3.772961,-0.145832,-0.030631,0.000938,-2.131637,-0.145346,0.989381,9.517307,0
-92.010193,-3.75622,-0.146018,-0.037219,0.001385,-6.851062,-0.146477,0.989346,9.476923,0
-92.03685,-3.760329,-0.146237,-0.033767,0.00114,-2.377302,-0.145716,0.989316,9.537051,0
-92.104156,-3.734671,-0.146472,-0.043551,0.001897,-2.060464,-0.146045,0.989278,9.545128,0
-92.120285,-3.710505,-0.146764,-0.053118,0.002821,-3.818437,-0.146341,0.989234,9.578333,0
-92.149902,-3.711026,-0.147014,-0.045413,0.002062,3.069759,-0.146485,0.989191,9.616025,0
-92.040375,-3.693663,-0.14738,-0.055044,0.00303,-0.759212,-0.146954,0.989143,9.612435,0
-91.985016,-3.67473,-0.14773,-0.060123,0.003615,-1.502501,-0.147251,0.9891,9.534359,0
-91.893295,-3.663932,-0.148098,-0.061245,0.003751,3.812073,-0.147675,0.989035,9.619616,0
-91.760162,-3.648441,-0.148468,-0.06456,0.004168,-2.874634,-0.147923,0.988979,9.553205,0
-91.703888,-3.64451,-0.148864,-0.061347,0.003763,6.087305,-0.148449,0.98892,9.622308,0
-91.567368,-3.635021,-0.149259,-0.061753,0.003813,1.641361,-0.148835,0.988862,9.643846,0
-91.435638,-3.598632,-0.149599,-0.066295,0.004395,3.257813,-0.149252,0.988799,9.712949,0
-91.244446,-3.574916,-0.15011,-0.076341,0.005828,1.626865,-0.149692,0.988733,9.62141,0
-91.069641,-3.560704,-0.150556,-0.076156,0.0058,-2.471776,-0.150064,0.988676,9.681539,0
-90.879425,-3.545012,-0.151011,-0.076165,0.005801,0.194916,-0.150583,0.988597,9.659102,0
-90.72261,-3.490367,-0.151511,-0.096274,0.009269,-4.773969,-0.150932,0.988518,9.642948,0
-90.445496,-3.482613,-0.152003,-0.085035,0.007231,-5.65466,-0.151586,0.988444,9.633974,0
-90.307846,-3.460357,-0.152535,-0.09398,0.008832,-1.778376,-0.152116,0.988362,9.746154,0
-90.049957,-3.446309,-0.153069,-0.08803,0.007749,-0.36195,-0.152647,0.988281,9.826025,0
-89.844757,-3.43224,-0.153599,-0.088082,0.007758,-0.95835,-0.152995,0.988199,9.860128,0
